Month,Flights,Delayed,Delay_Rate
1,443721,77718,17.515060139141486
2,262201,54218,20.67802945068859
3,336604,60659,18.020879133937804
4,476891,86856,18.212966904386956
5,344697,72814,21.12405968140135
6,312372,73231,23.443522466802403
7,359886,83380,23.16844778624342
8,490225,119359,24.34779947983069
9,626648,104355,16.65288966054308
10,663470,111919,16.86873558714034
11,629909,123345,19.58139985299464
12,639995,120488,18.8263970812272
